objectid,arastirmaci,eser_adi,muellif_adi,muellif_meslegi,muellif_olum,muellif_aile,muellif_memleketi,padisah_donemi,telif_tarih,eser_dili,eser_alt_turu,yazin_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_dili,baglantili_eser_tarihi,cilt_sayisi,takdim_hediye,tarihsel_kapsam,tematik_kapsam,kaynak,ilave_notlar,sayfa_no
riyaziye_0001,,Mecma'u'l-Kavâid,Atmaca «Hacı» (künyesi Muhyiddin Mehmed ibn-i Hacı Amıca),"Riyaziyeci, Osmanlı riyaziyecilerinin eskilerinden",,,,,899 (1494),Türkçe,,,,,,,,,,,"Hesab kaidelerini beyan eden eser; üç şık üzerine olup birinci şık «hisab-ı sıhah»dan, ikinci şık «Hisab-ı Küsûr»dan, üçüncü şık «mesâil-i Şettâ» adı ile 40 adet hesab mes'elesinden bahsetmektedir.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",İhtiyarlık zamanında te'lif ettiğini ve te'lif tarihinin (âhir zaman) terkîbinin delâlet ettiği 899 (1494) olduğunu bu münasebetle eserinin dîbâcesinde (girişinde) zikrediyor. Bu kitaba bir de tetimme yazmıştır.,251
riyaziye_0002,,Menazır,Âgâh Paşa «Erkân-ı Harbiye Mirlivâsı Yusuf Âgâh Paşa»,"Riyaziye ilimleri mütehassıslarından, Harbiye Mektebinde muallim",1314 (1898) tarihinde Haleb'de irtihal etmiştir,,Eyyüb'de doğmuştur,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Harbiye Mektebinden mezun olduktan sonra muhtelif mevkî ve hizmetlerde ve bu cümleden olarak Paris Ataşemiliterliği ile Mekteb-i Osmanî müdürlüğünde bulunmuştur. Hitabet kabiliyeti vardı.,251
riyaziye_0003,,Sath-ı Râkım,Âgâh Paşa «Erkân-ı Harbiye Mirlivâsı Yusuf Âgâh Paşa»,"Riyaziye ilimleri mütehassıslarından, Harbiye Mektebinde muallim",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Basılmış ve okutulmuştur.,251
riyaziye_0004,,Usûl-i Gölge,Âgâh Paşa «Erkân-ı Harbiye Mirlivâsı Yusuf Âgâh Paşa»,"Riyaziye ilimleri mütehassıslarından, Harbiye Mektebinde muallim",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Basılmış ve okutulmuştur. Bunlardan başka basılmamış eserleri de olduğu rivayet edilmiştir.,251
riyaziye_0005,,Ta'yîn-i Evkat-ı Salât,Âgâh Paşa «Erkân-ı Harbiye Mirlivâsı Yusuf Âgâh Paşa»,Riyaziye ilimleri mütehassıslarından,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Yıldız Kütübhanesinde bir eseri vardır.,251
riyaziye_0006,,Hulâsatü'l-Minhâc Fî İlmi'l-Hesâb,Ali İbn-i Hibetullah,"Riyaziyeci, Osmanlı riyaziyecilerinin eskilerinden, âlim",,,,Yıldırım Bâyezid Han,878 (1473) tarihinde yazılan nüshası,Arapça,,,,,,,,,,,"Bir mukaddime, altı maksad üzerine tertîb edilmiştir.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Yıldırım Bâyezid Han adına Arapça te'lif etmiştir. Nefîs bir nüshası Halis Efendi Kütübhanesinde vardır.,251
riyaziye_0007,,Tuhfetü'l-Âdâd Fi'l-Hesâb,Ali İbn-i Veli «Veli Efendi-Zâde»,"Muhasebeci, fazıl",,,Selânik'lidir,,,Türkçe,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Osmanlı muhasebecilerinden fazıl bir zât olup Mekke'de iken yazmıştır.,252
riyaziye_0008,,Hüseyin Vâiz Tefsiri (terceme),Ali İbn-i Veli «Veli Efendi-Zâde»,"Muhasebeci, fazıl",,,,,952 (1546),Türkçe,,Tercüme,,,,,,,,,Kur'ân-ı Kerîm âyetlerinin nüzûl sebeblerini ve kırâet ihtilâflarını da bildirmek şartıyle Hüseyin Vâiz'in tefsîrini iki cild üzerine tercüme etmiştir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Yazma bir nüshası İnegöl'de İshak Paşa Kütübhanesinde tarafımdan görülmüştür.,252
riyaziye_0009,,,Ali Bey «Üstad-ı Ekremim Bursalı Ali Sulhî Bey»,"Riyaziyeci, hesab, cebir, hendese ve müsellesat şubeleri, astronomi şubesinde ihtisas sahibi, Harbiye Mektebinde muallim","1333 (1917) senesinde, Bursa'da Şeyhü'l-Hattâtîn Şeyh Hamdullah Efendi merhumun yakınına defn edildi",,Bursa'lıdır,,Harbiye Mektebini bitiriş tarihi 1293 (1877),,,,,,,,,,,,"Riyaziye ilimlerinin hesab, cebir, hendese ve müsellesat gibi şubeleri hususiyle astronomi şubesinde ihtisas sahibi bir zat.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı","Bursa Askerî Lisesine muallim tayin olunduktan sonra yirmi sene kadar ders okutmuş ve Manastır Askerî Lisesine müdür tayin edilmiştir. Beş sene sonra da Kuleli Askerî Lisesine «Riyaziye» muallimi tayin edilmiştir. «Kaymakam» rütbesi ile bu vazifede iken yaş haddi dolayısıyle emekliliği icrâ olunduğu cihetle vefat tarihi olan 1333 (1917) senesine kadar Üsküdar'da icarda oturduğu evde eser te'lifi ile meşgul olmuştur. İslâmın güzel san'atlarından «hat» (yazı) san'atına intisabı olduğu cihetle bu âciz müellif tarafından Şeyhü'l-Hattâtîn Şeyh Hamdullah Efendi merhumun yakınına defn edildi. Zayıf bedenli ve lâtifesi çok bir zat olup Bursa'da «Cin Ali» şöhreti ile bilinirdi. Manastır Askerî Lisesinde müdürken Askerî Lise ile Askerî Hastane ve Rufâî Dergâhı bahçelerinde birer basıta-i ufkiyye (ufkî güneş saatı), Selânik'te Yalılardaki Müşîr Hayri Paşa'nın bina ettiği Camiin avlusunda ufkî ve minaresi duvarında amûdî birer güneş saati yaptığı gibi İstanbul'da Dolmabahçe Sarayı karşısındaki «Ebniye-i Seniyye» Müdürlüğü Dairesinin avlusunda da bir ufkî güneş saati yapmıştır. Fransa İlm-i Hey'et Cemiyeti tarafından 1912 senesinde fahrî azalığa kabul edildiğine dâir olan resmî belge ailesi yanında mahfuzdur.",252
riyaziye_0010,,Mufassal Kozmoğrafya,Ali Bey «Üstad-ı Ekremim Bursalı Ali Sulhî Bey»,Riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,252
