objectid,arastirmaci,eser_adi,muellif_adi,muellif_meslegi,muellif_olum,muellif_aile,muellif_memleketi,padisah_donemi,telif_tarih,eser_dili,eser_alt_turu,yazin_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_dili,baglantili_eser_tarihi,cilt_sayisi,takdim_hediye,tarihsel_kapsam,tematik_kapsam,kaynak,ilave_notlar,sayfa_no
tabib_0001,,,Altuncuzâde,"Ulemâ, tabib",,,,Fatih Sultan Mehmed,,,,,,,,,,,,,"Kıraat ve tıb ilminde mahareti olduğu, hapis-bola (taş hastalığı) ameliyatı icra ederek hastayı kurtardığı anlatılır.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Tercüme-i Şakayık'te nebatat ve yaşlı otların isim, fayda ve menfaatlerini bilmekte mahareti bulunduğu yazılmıştır.",197
tabib_0002,,Risale-i Hısatü'l-Keliyy ve'l-Mesane,Ahî Ahmed Çelebi,"Tabib, Reîsü'l-Etıbbâ","930 (1524), Mısır'da vefat, İmamı Şafiî yakınına defnedildi",,,Fatih ve İkinci Bayezid,,Türkçe,,,,,,,,,,,Böbrek ve mesanede hâsıl olan taşlara dair on bab üzerine müretteb tıbbî eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Babası ile meşhûr hekîm Kutbuddîn ve Altunîzâde'den tahsil etmiştir. Edirne Dârü'ş-Şifâ'sı tabibliğine ve İstanbul Dârü's-Sıhha'ya baş-tabib tayin olunmuştur. İstanbul'da camii ve Edirne'de hamamı vardır. Tıbb'tan meşhur (Mûcez)'i de terceme etmiştir. Edirne vilâyetindeki Ahî-çelebi Kasabası kendisine arpalık olarak verilmişti.,197
tabib_0003,,Mecmeu'l-Mücerrebât,Ahmed İbn-i Bâli Fakih,Tabib (ilmen ve amelen),,,"Saruhan (Manisa) Sancağı, Akhisar Kazasına bağlı Marmara Nahiyesi",,,Türkçe,,Tercüme,,,,,,,,,Meşhur hakîm İlyas Şirazî'nin (Hâvi-i Sağîr) adlı eserinin beş makale üzere tercemesi; mütercim bu makalelerin ihtiva ettiği babların sonlarına lüzumlu ilâveler koymuştur.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Osmanlı ulemâ ve tabiblerinden olup Meşhur Molla Arap'ın talebelerindendir. Tahsilini ikmalden sonra bir müddet kadılık mesleğinde bulunmuşsa da sonradan bu meslekten feragatla ilmen ve amelen tıb ilmi ile meşgul olmaya başladı. Bu eserin 987 (1579) tarihinde yazılan bir nüshası müellif (Bursalı Mehmed Tâhir) tarafından görülmüştür.,197
tabib_0004,,İhlâs Sûresi Tefsiri,Ahmedibn-i İbrahim «A'reç»,"Tabib, müderris",,,,,1119 (1707),Arapça,,,,,,,,,,,"Fıkıh ve tıb ilminde behre sahibi; Şeyhü'l-İslâm Efendi adına te'lif edilmiş, Hariç-i Saniye rütbesine nail olunmuştur.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Bu eserin mukaddimesinde fıkıh ilminden Kudurî, Muhtar, Vikaye ve Mültekâ'yı ihtisar ettiğini ve (Mecmau'l-Bahreyn)'i de (Kitabu'l-Buyu)'undan sonuna kadar ihtisar ve hadîs ilminden bir risale ile feraîzden bir risale te'lif ettiğini yazıyor. Ayrıca (Teshîlü't Tedâbîr) adlı tıbbî eserin mukaddimesinde Süleymaniye Tıb Medresesinde on beş sene tahsilden sonra Saray tabibi olduğunu ve tıbba ait eserini tıb ilminin şubelerinden on üç fen üzerine tertîb ettiğini yazıyor; bu eser Sultan Mustafa ibn-i Ahmed Han adınadır.",198
tabib_0005,,Ganiyyetü'l-Mihsalîn fî Tercemeti Tuhfetü'l-Mü'minîn,Ahmed Sânî İbn-i Hasan Efendi,Tabib,,,,Sultan Birinci Mahmud,,Türkçe,,,Tercüme ve şerh,Tuhfetü'l-Mü'minîn,"Mehmed Mü'min Hüseynî'nin kırk küsur tabibe müracaatla, Safevî şahlarından Şah Süleyman adına farsça olarak te'lif ettiği 470 yapraktan müteşekkil eser",,,,,,Eser beş teşhîs (bab) ile 'düsturat' adı ile üç kısımdan ibarettir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Kendi tıbbî mütalâalarını da ilâve etmek şartı ile terceme ve bazı noktalarını tahşiye ederek mufassal bir eser meydana getirmiştir. Birer nüshası Ayasofya ve Köprülü Kütübhanelerinde vardır.,198
tabib_0006,,,Ahmed Ali Paşa - Ahmed Remzi Paşa,Tabib (Ferik - Tümgeneral),"1305 (1887), İstanbul'da vefat, Eyyüb'te Cami ile Bostan İskelesi arasındaki mezaristanda medfundur",,Rodos'lu,,1274 (1858) Mekteb-i Fünûn-i Tıbbiye'den mezun,,,,,,,,,,,,İki cild bir (müfredât-ı Tıb) ve Tıb Tedavî ilmine taallûk eden makbul birçok tercemeleri vardır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Tıbbî ilimlerin Türk dilinde tedrîs olunmasına en ziyade himmet ve gayret edenlerden olup teşkil olunan (Cemiyeti Tıbbîye)'nin uzun müddet reisliğinde bulunmuştur. Ders Nazırlığı'nı da ifâ etmiştir. Fazla kitab okumaktan ve araştırmadan dolayı ömrünün sonlarında gözlerine âmâlık ârız olmasına rağmen çalışmalarına zerre kadar ara vermeyerek dikte ettirmek suretiyle çalışan, müstakîm bir zattı.",198
tabib_0007,,,Ahmet Hilmi Paşa,Tabib,"1321 (1905), İstanbul'da vefat, Kadıköy'de Mahmud Baba Türbesi civarında medfundur",,Kayseri'li,,1280 (1863) Mekteb-i Tıbbiyeden mezun,Arapça ve Fransızca,,,,,,,,,,,"(Ameliyat-ı Cerrahiye), (Emraz-ı Umumîye-i Cerrahiye), (Kimya-yi Ma'denî), (Tahlîl-i Kimyevî), (Teşrih-i Marazî) isimlerinde basılmış tıbbî eserleri vardır.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Tıbbiye Mektebi Nezaretine yükselmiş en son memuriyeti Makam-ı Vâlâ-yı ser-askeri Sıhhiye Dairesi İkinci Reisliği idi. Cemiyet-i Tıbbiye-i Osmaniye'nin te'sîsinde ve tıbbiye tedrisatını Türkçeye tahvili hususunda vakıfane himmetleri geçmiştir.,199
tabib_0008,,Kitabü İksiri'l-Hayatı fî Telhisi Kavaidi'l-Mualecat,Ali Sivasî «Ebû Abdullah ibn-i Mehmed ibn-i Ali es-Sivasî»,Tabib,,,Sivas'lı,,,"Arapça (mukaddime), Farsça (münderecat)",,,,,,,,,,,Mufassal tıbbî eser; Selçuk Emirlerinden Emîr Yeşbek adına te'lif edilmiştir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Tabiblerin faziletlilerindendir. İkdü'l-Cümân'da mufassal olarak yazıldığı üzere Emîr Yeşbek, Amasya'da Selçuk Saltanatı makamında bulunan Tacüddin Altunbaş'ın Atabeyi olup 718 (1318) badiresinde Amasya'da ifnâ edilmiş ve evlâdı Mısır'a firar etmiştir.",199
tabib_0009,,Câmi fi'l-İlm-il Baytariyye,Abdullah Ahmed İbn-i Beşir Kütahyavî,Tabib,"1109 (1697), fücceten vefat etmiştir",,İstanbul'da Dârü'ş-Şifâ tabîbi,,,,,,,,,,,,,,Veterinerlik (baytariye) ilmine dair eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Faziletli bir zattır.,199
tabib_0010,,,Ali Efendi «Hekim»,Tabib (padişah tabibi),1160 (1747) küsur tarihlerinde Bursa'da vefat etmiştir; Mevlevîhane karşısındaki künbedin arkasında üstadı Ömer Şifaî'nin yanında medfundur,,"Doğum yeri İstanbul, Bursa'da oturmuş, Bursalı Ali Efendi diye tanınmıştır",,,,,,,,,,,,,,Zamanında hazîk tabiblerden sayılan padişahın tabîbi idi.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Eserleri sayfa 200'de listelenmektedir.,199
tabib_0011,,Bizaetü'l-Mübtedî,Ali Efendi «Hekim»,Tabib (padişah tabibi),,,,,,,,,,,,,,,,,İlâçların heca harfleri sırasına göre tertibi ile ta'riflerinden bahsetmektedir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Nüshaları İstanbul kütüphanelerinden Ayasofya ve Hamidiye Kütüphanelerinde vardır.,200
tabib_0012,,Cerrahname,Ali Efendi «Hekim»,Tabib (padişah tabibi),,,,,,,,,,,,,,,,,Dokuz bab üzerine müretteb cerrahî eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Nüshaları Nuruosmaniye ve Galata Mevlevihanesi Kütüphanelerinde vardır.,200
tabib_0013,,Kırasetü'l-Kimya Terceme-i Akrebadîn,Ali Efendi «Hekim»,Tabib (padişah tabibi),,,,,,,,Tercüme,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Efrenc (yabancı) dilden terceme edilmiştir.,200
tabib_0014,,Tuhfe-i Aliyye,Ali Efendi «Hekim»,Tabib (padişah tabibi),,,,,,,,,,,,,,,,,Üç bab bir hatime üzerine müretteb olan bu eser «Kınakına»nın özelliklerinden bahsetmektedir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Sadr-ıâzam Hekîmoğlu Ali Paşa adına muharrerdir.,200
tabib_0015,,Apapakogalo,Ali Efendi «Hekim»,Tabib (padişah tabibi),,,,,,,,,,,,,,,,,Bir nebatın özelliklerine dair eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bu da Ali Paşa adına muharrerdir.,200
tabib_0016,,Risale-i Fevaid-i Narcîl-i Bahrî,Ali Efendi «Hekim»,Tabib (padişah tabibi),,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,200
tabib_0017,,Risale-i Pâd-zehir,Ali Efendi «Hekim»,Tabib (padişah tabibi),,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,200
tabib_0018,,Eşçarü'l-Esmâr (terceme),Abdü'l-Âziz Efendi «Hekîm-başı»,"Tabib, Hekîm-başı","1197 (1783), dil uzatmak töhmetinden nâşi İstanköy adasında sürgün olarak vefat etmiştir",Osmanlı tarihçilerinden Suphi Efendi'nin oğlu,,,,Farsçadan tercüme,,Tercüme,,,,,,,,,Yıldızların hükümlerine dair Alîşah Harzemî'nin eseri; ayrıca ahlâktan da güzel bir eser yazmıştır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Tıb ilmi ve sair ilimlerde ihtisas sahibidir. Türkçe ve farsça şiir yazmağa muktedirdi.,200
tabib_0019,,Bürhanü'l-Kifaye (terceme),Abdü'l-Âziz Efendi «Hekîm-başı»,"Tabib, Hekîm-başı",,,,,,,,Tercüme,,,,,,,,,Muhemmed Şerîf Bekrî'nin farsça kitabının tercemesi.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,200
tabib_0020,,Kıtaat-ı Nükade fî Tercemeti Kelimati'l-Vâride,Abdü'l-Âziz Efendi «Hekîm-başı»,"Tabib, Hekîm-başı",,,,,,Fransızcadan tercüme,,Tercüme,,,,,,,,,Tıbbî eser; ayrıca İtalya Tarihi'ni ve Bevarhave'nin (Fusûl) isimindeki tıbbî eserini de terceme etmiştir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Şiirlerinden bir bölüm eserde nakledilmiştir. Teşrih ile müzmin ve gayri müzmin hastalıkların tedâvilerine dair lâtinceden terceme ettiği eseri Es'ad Efendi kütübhanesindedir.,200
