objectid,eser_adi,muellif_adi,cild_adedi,sayfa_no,ilave_notlar,kaynak
asir14_0001,Ahmed Mithat Efendi,İsmail Hakkı Bey,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0002,Ekrem Bey,İsmail Hakkı Bey,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0003,Şemseddin Sâmi Bey,İsmail Hakkı Bey,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0004,Cevdet Paşa,İsmail Hakkı Bey,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0005,Alp Arslan,İbrahim Rıf'at Efendi,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0006,Selâhaddin-i Eyyûbî,İbrahim Hilmi Efendi,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0007,Hayat-ı Yesu',Mehmed Nahid Bey,,187,Tercemedir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0008,Muhadderat-ı İslâm,Kadriye Hanım,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0009,Ziya Paşa — Terceme-i Hâli,Mehmed Nazım Paşa,,187,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0010,Menâkıb-ı Üveys el-Karanî,Ohrili Hüseyin Mazhar Bey,,187,Tercemedir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0011,Şeyh Şamil'in Gazevâtı,Tâhirü'l-Mevlevî Bey,,187,Tercemedir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0012,Hamidiye Kumandanı Rauf Bey'in Terceme-i Hâli ve Hayat-ı Askeriyesi,A.N.,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0013,Hacı Murad,Yusuf Ziya Bey,,187,Tercemedir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0014,Bahr-i Ensâb-ı Sağîr,Bektaş Tokadi,,187,"Yazma, Arapça.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0015,Silsiletü'z-Zeheb fî Esmâi'r-Ruvatı,Ahmed Abdülâziz ibn-i Hüseyin Eyyûbî,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0016,Menâkıb-ı Emîr Sultan,Müdâmî,,187,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0017,Fen Adamları,Subhi Edhem Bey,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0018,Bursa'daki Ricâl-i Zeyniyye Menâkıbı,Bursalı Mehmed İbn-i Sa'dî Hoca,,187,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0019,Kasas-ı Yusufî,,,187,Farsça'dan terceme edilmiştir. Şâban İbn-i Ehu ibn-i Ahmed tarafından 1099 (1688)'de tercüme edilmiştir. Bir nüshası Edirne'de Sultan İkinci Selim Kütübhanesinde mevcuttur.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
asir14_0020,Diyorlar ki,Ruşen Eşref Bey,,187,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - 14. Asır Türk Muharrirleri"
