objectid,eser_adi,muellif_adi,cild_adedi,sayfa_no,ilave_notlar,kaynak
derc_0001,Tarih-i Devlet-i Osmaniye,Abdurrahman Şeref Efendi,2,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0002,Fezleke-i Tarih-i Devlet-i Osmaniye,Abdurrahman Şeref Efendi,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0003,Fezleke-i Tarih-i Düvel-i İslâmiye,Abdurrahman Şeref Efendi,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0004,Zübdetü'l-Kısas,Abdurrahman Şeref Efendi,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0005,Tarih-i Umumî,Sami Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0006,Fezleke-i Tarih-i Umumî,Ali Tevfik Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0007,Manzara-i İber (Roma Tarihi),Giridî Cevdet Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0008,Mücmel Tarih-i Umumî,Muhyiddin Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0009,Tarihçe-i Lisan-ı Osmanî,Mehmet Fuat Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0010,Tarih-i Umumî,Hakkı Paşa,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0011,Muharebat-ı Bahriye-i Osmaniye,Süleyman Nutkî Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0012,Muhtasar İslâm Tarihi,Hakkı Paşa,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0013,Muhtıra-i Tarih-i Âlem,Halid Efendi,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0014,Tarih-i Sanayi',Mehmed Ziya Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0015,Yâdigâr-ı İslâm,Trabzonlu Tahsin Efendi,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0016,Tarih-i İ'malât ve Keşfiyat,Filibeli Vasfi Efendi,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0017,Tarih-i Hukuk-i Beyne'd-Düvel,Hakkı Paşa,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0018,İspanya ve Portekiz Tarihi,Nazım Paşa,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0019,Rodos Tarihi,Ziver Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0020,Kıbrıs Tarihi,Ziver Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0021,"Mir'ât-ı Adalet, Tarihçe-i Adliye-i Devlet-i Aliye",Lütfi Efendi,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0022,Beyân-ı Hakikat,(Haydar Bey) Ahmed Şükrü Bey-zâde,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0023,Mir'ât-ı Tarih-i Osmanî,"Şevkî, Aziz, Sami Beyler",1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0024,Hulâsatü'l-Kelâm Fî Meâsir-i İslâm,Sami Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0025,Enhârü't-Tevârih,Hüseyin Avni Bey,1,162,Atlas tarzındadır,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0026,Medeniyet-i İslâmiye,Ali Vehbi Efendi,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0027,Muhtasar Musavver Osmanlı Tarihi,Reşad Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
derc_0028,Âçe Tarihi,Mehmed Ziya Bey,1,162,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Derç Edilmemiş Olan Tarih Kitabları"
