objectid,sira_no,sefir_muellif,eser_veya_konu,tarih,ilave_notlar,sayfa_no,kaynak
sefaretname_0001,1,Ahmed Resmî Efendi,Fransa Sefaret-nâmesi,,,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0002,2,Ahmed Azmî Efendi,Prusya Sefaret-nâmesi,1205 (1790),Basılmıştır; Ebu'z-Ziya Matbaası,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0003,3,Yirmi Sekiz Çelebi Mehmed Efendi,Fransa Sefaret-nâmesi,1132,Ebu'z-Ziya Matbaası,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0004,4,Ratîb Efendi,,,Basılmamıştır,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0005,5,Mustafa Rasih Efendi,Rusya Sefaret-nâmesi,1207 (1793),Basılmamıştır,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0006,6,Defter Emîni Necatî Efendi,Rusya Sefaret-nâmesi,1189 (1775),Basılmamıştır,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0007,7,Abdülkerîm Paşa maiyyeti kâtiblerinden Nahifî Efendi,Rusya Sefaret-nâmesi,1188 (1774),,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0008,8,Vahîd Mehmed Paşa,Fransa Sefaret-nâmesi,1221 (1806),Basılmıştır; Ebu'z-Ziya Matbaası,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0009,9,Mevkuratçı Mustafa Hattî Efendi,Nemçe Sefaret-nâmesi,,,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0010,10,Kırımî Rahmî Efendi,İran Sefaret-nâmesi,I. Mahmud zamanında,Basılmamıştır,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0011,11,Saîd ve Sabrî Efendi,,,Basılmamıştır,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0012,12,Saîd Muhib Efendi,1221 (1806) Fransa,,Basılmamıştır,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0013,13,Münif Efendi,İran,,Basılmamıştır,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0014,14,Abdürrezzak Bâhir Efendi,1259 (1843) Fransa,,Basılmamıştır,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0015,15,Ahmed Resmî Efendi,Nemçe Sefaret-nâmesi,1171 (1757),Basılmıştır; Ebu'z-Ziya Matbaası,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0016,16,Seyid Ali Efendi,Fransa Sefaret-nâmesi,,,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0017,17,Sadr-ı Esbak Galib Paşa,Fransa Sefaret-nâmesi,,,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0018,18,Dürrî Efendi,Fransa Sefaret-nâmesi,,Raşid Tarihinde derc edilmiştir,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
sefaretname_0019,19,Mehmed Paşa,Karlofça Muahedesini müteâkıb Avusturya'ya gönderilmiştir,,Viyana İmparatorluk Kütübhanesi (me'muru) (Karaliç) tarafından basılmıştır,180,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - Sefaret-nâmeler"
